2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:43 | ============================================================
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:44 | SecVuln Agent Starting...
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:45 | ============================================================
2025-10-16 00:39:52 | CRITICAL | secvuln-agent | main:378 | Fatal error: Device at row 18 missing required field: device_id
Traceback (most recent call last):
  File "C:\Projects\secvuln-agent\src\main.py", line 366, in main
    agent = SecVulnAgent()
            ^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\main.py", line 50, in __init__
    self.devices = self.config_loader.load_devices()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 113, in load_devices
    self._validate_devices()
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 132, in _validate_devices
    raise ValueError(
ValueError: Device at row 18 missing required field: device_id
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-54539: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-41021: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-41019: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-41020: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62584: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-41018: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62583: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-62585: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-11683: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 13:59:12 | INFO     | secvuln-agent | process_vulnerabilities:249 | Processed 7 vulnerabilities
2025-10-16 13:59:16 | INFO     | secvuln-agent | run_scan:326 | Scan complete. Database stats: {'total_cves': 1677, 'unnotified_cves': 0, 'by_severity': {'LOW': 1677}, 'cisa_kev_count': 1442, 'new_last_24h': 1677}
2025-10-16 15:00:16 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 15:00:16.650765
2025-10-16 15:00:16 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 15:00:16 | ERROR    | secvuln-agent | collect_vulnerabilities:170 | Failed to collect from CISA KEV: HTTPSConnectionPool(host='www.cisa.gov', port=443): Max retries exceeded with url: /sites/default/files/feeds/known_exploited_vulnerabilities.json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001C26567BF50>: Failed to resolve 'www.cisa.gov' ([Errno 11001] getaddrinfo failed)"))
2025-10-16 15:00:16 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
